"MAIN STORE LINK","DESIGNER NAME","CATEGORY","WEBSITE","INSTAGRAM URL","IMAGE 1","IMAGE 2","IMAGE 3","IMAGE 4","IMAGE 5","IMAGE 6","IMAGE 7","IMAGE 8","IMAGE 9","IMAGE 10","IMAGE 11","IMAGE 12","IMAGE 13","IMAGE 14"
"https://www.perniaspopupshop.com/designers/mayank-anand-shraddha-nigam","Mayank Anand & Shraddha Nigam","Women","https://mayankanandshraddhanigam.com/","https://www.instagram.com/mayankanandshraddhanigam/","https://img.perniaspopupshop.com/catalog/product/m/a/MASC072252_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/a/MASC072251_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/a/MASC072250_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/a/MASC072248_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/a/MASC072247_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/a/MASC072244_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/a/MASC072243_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/a/MASC072240_1.jpg?impolicy=listingimagedesktop",,,,,,
"https://www.perniaspopupshop.com/designers/mint-blush-men","Mint Blush Men","Men","https://www.mintblush.in/","https://www.instagram.com/mintblushdesigns/?hl=en","https://img.perniaspopupshop.com/catalog/product/m/i/MINM062215_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MINM062226_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MINM062204_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MINC062054_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MINM062205_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MINM062211_1.jpg?impolicy=listingimagedesktop",,,,,,,,
"https://www.perniaspopupshop.com/designers/mohmmad-mazhar","mohmmad mazhar","Women",,"https://www.instagram.com/mohammed.mazhar.official/?hl=en",,,,,,,,,,,,,,
"https://www.perniaspopupshop.com/designers/minaxi-dadoo","Minaxi Dadoo","Women",,"https://www.instagram.com/minaxidadooofficial/?hl=en","https://img.perniaspopupshop.com/catalog/product/m/n/MNDC1023104_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/n/MNDC1023103_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/n/MNDC1023102_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/n/MNDC1023101_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/n/MNDC102328_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/n/MNDC092307_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/n/MNDC082310_1.jpg?impolicy=listingimagedesktop",,,,,,,
"https://www.perniaspopupshop.com/designers/mohammad-mazhar","Mohammad Mazhar","Women",,"https://www.instagram.com/mohammed.mazhar.official/?hl=en","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102020_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102019_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102018_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102017_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102016_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102015_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102014_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102013_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102011_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102010_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102009_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102008_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102007_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/m/MMZC102006_1.jpg?impolicy=listingimagedesktop"
"https://www.perniaspopupshop.com/designers/mathili-by-anju-bath","Maithili by Anju Nath",,,,"https://img.perniaspopupshop.com/catalog/product/m/a/MABC122014_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/a/MABC122013_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/a/MABC122012_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/a/MABC122011_1.jpg?impolicy=listingimagedesktop",,,,,,,,,,
"https://www.perniaspopupshop.com/designers/mero","Mero","Women","https://mero.studio/","https://www.instagram.com/mero.studio/?hl=en","https://img.perniaspopupshop.com/catalog/product/m/e/MERC112363_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/e/MERC112362_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/e/MERC112361_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/e/MERC112360_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/e/MERC112359_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/e/MERC112357_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/e/MERC112356_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/e/MERC112353_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/e/MERC112352_1.jpg?impolicy=listingimagedesktop",,,,,
"https://www.perniaspopupshop.com/designers/mixmitti","Mixmitti",,"https://mixmitti.com/","https://www.instagram.com/mixmitti/","https://img.perniaspopupshop.com/catalog/product/m/i/MIXM022121_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MIXM022116_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MIXM022115_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MIXM022114_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MIXM022112_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MIXM022109_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MIXM022108_1.jpg?impolicy=listingimagedesktop",,,,,,,
"https://www.perniaspopupshop.com/designers/manvi-manik","Manvi & Manik","Women",,"https://www.instagram.com/manvimanik/",,,,,,,,,,,,,,
"https://www.perniaspopupshop.com/designers/mini-chic","Mini Chic",,,,"https://img.perniaspopupshop.com/catalog/product/m/i/MICH032251_1.JPG?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MICH122123_1.JPG?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MICH122115_1.JPG?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MICH102109_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MICH032252_1.JPG?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/m/i/MICH102129_1.jpg?impolicy=listingimagedesktop",,,,,,,,
