"MAIN STORE LINK","DESIGNER NAME","PRICE RANGE","CATEGORY","WEBSITE","INSTAGRAM URL","IMAGE 1","IMAGE 2","IMAGE 3","IMAGE 4","IMAGE 5","IMAGE 6","IMAGE 7","IMAGE 8","IMAGE 9","IMAGE 10","IMAGE 11","IMAGE 12","IMAGE 13"
"https://www.ensembleindia.com/designers/cvh.html","CVH","4800-8900","Women",,,"https://www.ensembleindia.com/pub/media/Fermion/Designer/image/CVH.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg"
"https://www.ensembleindia.com/designers/deepa-gurnani.html","Deepa Gurnani","2750-27000","Women","https://www.deepagurnani.com/","https://www.instagram.com/deepagurnani/","https://www.ensembleindia.com/pub/media/Fermion/Designer/image/Deepa_Gurnani.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg"
"https://www.ensembleindia.com/designers/dhruv-singh.html","Dhruv Singh","3600-50000","Women",,,"https://www.ensembleindia.com/pub/media/resized/product/644_964_287-dhr2-1.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_287-dhr24-1.jpg",,,,,,,,,,,
"https://www.ensembleindia.com/designers/diosa-paris.html","Diosa Paris","14420-360500","Women","https://diosajewels.com/","https://instagram.com/diosaparis?igshid=OGQ2MjdiOTE=","https://www.ensembleindia.com/pub/media/Fermion/Designer/image/DoisaParis.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg"
"https://www.ensembleindia.com/designers/divya-chugh.html","Divya Chugh","3400-9000","Women","https://divyachugh.com/","https://www.facebook.com/JewellerybyDivyaChugh/","https://www.ensembleindia.com/pub/media/resized/product/644_964_1332023dic56-1.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_1332023dic55-1.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_1332023dic54-1.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_1332023dic53-1.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_1332023dic52-1.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_1332023dic51-1.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg",
"https://www.ensembleindia.com/designers/dusala.html","Dusala India","6600-28800","Women","https://dusala.in/","https://www.instagram.com/dusalaindia/","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg",
"https://www.ensembleindia.com/designers/energy-strings.html","Energy Studio","2800-15500","Women",,,"https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg",
"https://www.ensembleindia.com/designers/febo6.html","FEBo6 ","4900-36900","Women","https://www.febo6.in/","https://www.instagram.com/febo6/?hl=en","https://www.ensembleindia.com/pub/media/Fermion/Designer/image/FEBo6 _4July2023.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg"
"https://www.ensembleindia.com/designers/fooljhadi.html","Fooljhadi ","2900-12500","Women","https://www.facebook.com/fooljhadi/","https://www.instagram.com/fooljhadi/","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg",
"https://www.ensembleindia.com/designers/graine.html","GRAINE ","15500-31500","Women",,"https://www.instagram.com/graineworld/?hl=en","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg","https://www.ensembleindia.com/pub/media/resized/product/644_964_new_placeholder.jpg",
