"MAIN STORE LINK","DESIGNER NAME","CATEGORY","WEBSITE","INSTAGRAM URL","IMAGE 1","IMAGE 2","IMAGE 3","IMAGE 4","IMAGE 5","IMAGE 6","IMAGE 7","IMAGE 8","IMAGE 9","IMAGE 10","IMAGE 11","IMAGE 12","IMAGE 13","IMAGE 14"
"https://www.perniaspopupshop.com/designers/the-lable-nuska","The Label Nuska","Women","https://thelabelnuska.com/","https://www.instagram.com/thelabelnuska/","https://img.perniaspopupshop.com/catalog/product/n/u/NUBA042113_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/n/u/NUBA042112_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/n/u/NUBA042111_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/n/u/NUBA042105_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/n/u/NUBA042102_1.jpg?impolicy=listingimagedesktop",,,,,,,,,
"https://www.perniaspopupshop.com/designers/talking-threads-men","Talking Threads Men",,,,,,,,,,,,,,,,,
"https://www.perniaspopupshop.com/designers/the-pink-elephant","The Pink Elephant","Women","https://www.facebook.com/pinkelephantdesigns2/",,"https://img.perniaspopupshop.com/catalog/product/t/p/TPEC052151_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/p/TPEC052150_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/p/TPEC052149_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/p/TPEC052148_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/p/TPEC052144_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/p/TPEC052139_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/p/TPEC052138_1.jpg?impolicy=listingimagedesktop",,,,,,,
"https://www.perniaspopupshop.com/designers/taa-tia","Taa-Tia","Women",,"https://www.instagram.com/taatia.bysimranlohia/",,,,,,,,,,,,,,
"https://www.perniaspopupshop.com/designers/trumpet-vine","Trumpet Vine","Women","https://trumpetvine.in/","https://www.instagram.com/trumpetvineofficial/","https://img.perniaspopupshop.com/catalog/product/t/r/TRUM102320_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/r/TRUM102319_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/r/TRUM102311_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/r/TRUM102318_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/r/TRUM102316_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/r/TRUM102315_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/r/TRUM072310_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/r/TRUM072309_1.jpg?impolicy=listingimagedesktop",,,,,,
"https://www.perniaspopupshop.com/designers/two-fold-store","Two Fold Store","Women","https://twofoldstore.com/","https://instagram.com/https://www.instagram.com/twofold_store/","https://img.perniaspopupshop.com/catalog/product/t/w/TWOF022227_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/w/TWOF022230_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/w/TWOF022225_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/w/TWOF062127_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/w/TWOF062102_1.jpg?impolicy=listingimagedesktop",,,,,,,,,
"https://www.perniaspopupshop.com/designers/right-cut-kids","The Right Cut Kids","Kids","https://therightcut.in/","https://www.instagram.com/therightcut/","https://img.perniaspopupshop.com/catalog/product/r/i/righ082213_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/i/righ082222_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/i/righ082210_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/i/RIGH082202_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/i/RIGH082218_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/i/RIGH082203_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/i/RIGH082221_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/i/RIGH082208_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/i/RIGH082223_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/i/RIGH082207_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/r/i/RIGH082217_1.jpg?impolicy=listingimagedesktop",,,
"https://www.perniaspopupshop.com/designers/toshila","Toshila",,,,"https://img.perniaspopupshop.com/catalog/product/t/o/TOSH052128_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/o/TOSH052127_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/o/TOSH052126_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/o/TOSH052125_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/o/TOSH052121_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/o/TOSH052118_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/o/TOSH052117_1.jpg?impolicy=listingimagedesktop",,,,,,,
"https://www.perniaspopupshop.com/designers/the-tie-hub","THE TIE HUB","Men","https://www.thetiehub.com/","https://www.instagram.com/thetiehub/","https://img.perniaspopupshop.com/catalog/product/t/t/TTHU092245_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/t/TTHU092244_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/t/TTHU092243_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/t/TTHU092242_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/t/TTHU092241_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/t/TTHU092240_1.jpg?impolicy=listingimagedesktop",,,,,,,,
"https://www.perniaspopupshop.com/designers/the-little-souvenir","THE LITTLE SOUVENIR",,,,,,,,,,,,,,,,,
"https://www.perniaspopupshop.com/designers/tatwamm-couture","TATWAMM Couture","Women","https://www.tatwamm.com/","https://www.instagram.com/tatwammcouture/","https://img.perniaspopupshop.com/catalog/product/t/a/TATW1023106_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/a/TATW1023105_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/a/TATW1023104_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/a/TATW1023102_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/a/TATW1023101_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/a/tatw1023100_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/a/tatw102396_3.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/t/a/tatw102395_1.jpg?impolicy=listingimagedesktop",,,,,,
