"MAIN STORE LINK","DESIGNER NAME","PRICE RANGE","CATEGORY","WEBSITE","INSTAGRAM URL","STORE 1","STORE 2 ","STORE 3 ","STORE 4 ","STORE 6","STORE 7","IMAGE 1","IMAGE 2","IMAGE 3","IMAGE 4","IMAGE 5","IMAGE 6","IMAGE 7","IMAGE 8","IMAGE 9","IMAGE 10","IMAGE 11"
"https://www.perniaspopupshop.com/designers/akashi","Akashi","5900-14500","Women","https://www.akashidesignerstudio.com/","https://www.instagram.com/akashidesignerstudio/?hl=en","Shop No.2, Dinar Building, Station Rd, opposite City Plaza, Santacruz West, Mumbai, Maharashtra, 400054",,,,,,"https://img.perniaspopupshop.com/catalog/product/a/k/AKAS112107_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/k/AKAS112104_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/k/AKAS112109_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/k/AKAS112101_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/k/AKAS112102_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/k/AKAS112103_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/k/AKAS112106_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/1/2/12031.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/1/2/12220.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/1/1/11920.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/1/2/12131.jpg?impolicy=listingimagedesktop"
"https://www.perniaspopupshop.com/designers/ankit-v-kapoor","Ankit V Kapoor","8990-235000","Men","https://www.ankitvkapoor.com/","https://www.instagram.com/ankitvkapoorofficial/","H6/1A,Jungi Lane, Shahpur Jat Market, New Delhi - 110049",,,,,,"https://img.perniaspopupshop.com/catalog/product/a/v/AVKPR052306_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/v/AVKPR052305_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/v/AVKPR052314_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/v/AVKPR052313_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/v/AVKPR052315_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/v/AVKPR052311_1.jpg?impolicy=listingimagedesktop",,,,,
"https://www.perniaspopupshop.com/designers/amaare","Amaare","17900-159000","Men","https://amaare.in/","https://www.facebook.com/AmaareFashions","Basement, Ground Floor, A-7 Part-1, South Ext NDSE, Delhi-110049",,,,,,"https://img.perniaspopupshop.com/catalog/product/a/m/AMAC092068_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMAC092066_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMAC092067_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMAC092069_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMAC092215_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/m/AMAC092210_1.jpg?impolicy=listingimagedesktop",,,,,
"https://www.perniaspopupshop.com/designers/anita-dongre-men","Anita Dongre Men","90900-133890","Men","https://www.anitadongre.com/MEN","https://www.facebook.com/anitadongre","Sassoon Building, B Bharucha Rd, Kala Ghoda, Fort Mumbai, Maharashtra 400001","Basement, UG & 1st Floor, Everest Classic, Linking Road, Khar (West) MUMBAI, MAHARASHTRA 400052",,,,,"https://img.perniaspopupshop.com/catalog/product/a/n/ANDM042209_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ANDM0922286_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ANDM0322127_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/andm042210_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/andm052221_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ANDM052204_1.jpeg?impolicy=listingimagedesktop",,,,,
"https://www.perniaspopupshop.com/designers/aartivijay-gupta-men","Aartivijay Gupta Men",,,,,,,,,,,,,,,,,,,,,
"https://www.perniaspopupshop.com/designers/aiman-men","Aiman Men",,"Men",,,,,,,,,"https://img.perniaspopupshop.com/catalog/product/a/r/aralfw0416031.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/r/aralfw0416028.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/r/aralfw0416030.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/r/aralfw0416033.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/r/aralfw0416032.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/r/aralfw0416029.jpg?impolicy=listingimagedesktop",,,,,
"https://www.perniaspopupshop.com/designers/asmita-marwah","Asmita Marwah",,,,,,,,,,,,,,,,,,,,,
"https://www.perniaspopupshop.com/designers/abhi-singh","Abhi Singh","32000-32000","Women",,,,,,,,,"https://img.perniaspopupshop.com/catalog/product/a/b/ABSGH101903-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/b/ABSGH092140_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/b/ABSGH122006_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/b/ABSGH091915-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/b/ABSGH091917-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/b/ABSGH101906-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/b/ABSGH101908-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/b/ABSGH101912-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/b/ABSGH111908-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/b/ABSGH101919-001_1.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/b/ABSGH101918-001_1.jpg?impolicy=listingimagedesktop"
"https://www.perniaspopupshop.com/designers/anuj-madaan","Anuj Madaan",,"Men",,"https://www.instagram.com/anujmadaanofficial/",,,,,,,"https://img.perniaspopupshop.com/catalog/product/a/n/ANMD081918_2.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ANMD081917_2.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ANMD081916_2.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ANMD081911_2.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ANMD081910_2.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/n/ANMD081909_2.jpg?impolicy=listingimagedesktop",,,,,
"https://www.perniaspopupshop.com/designers/aditya-sachdeva","Aditya Sachdeva",,"Men","https://aditya-sachdeva-men.business.site/","https://www.facebook.com/adityasachdevamen/","116, near karkardooma, Priya Enclave, Anand Vihar, court, Delhi",,,,,,"https://img.perniaspopupshop.com/catalog/product/a/d/adis111802_2.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/d/adis111801_2.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/s/asdc101816-b.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/s/asdc101815-b.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/s/asdc101813-b.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/s/asdc101812-b.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/s/asdc101809-b.jpg?impolicy=listingimagedesktop","https://img.perniaspopupshop.com/catalog/product/a/s/asdc101808-b.jpg?impolicy=listingimagedesktop",,,
